unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1513987200000.0,2017-12-23 00:00:00,ETH/USDT,635.15,714.99,627.97,640.34,79001.05634,53738833.8806143,79260.0,54.700228417914296,698.0557142857143,66.22085220395752,-2.941191680299852,69.16204388425737
1514073600000.0,2017-12-24 00:00:00,ETH/USDT,640.33,667.64,563.49,658.0,95431.94156,59101715.1506293,108808.0,56.63611828862001,708.72,60.355484495180576,-7.045247511261437,67.40073200644201
1514160000000.0,2017-12-25 00:00:00,ETH/USDT,659.4,744.0,599.99,714.95,78544.84102,55108579.6840084,86060.0,62.24017274312284,715.5021428571428,58.42741920299977,-7.17865024275379,65.60606944575356
1514246400000.0,2017-12-26 00:00:00,ETH/USDT,713.12,750.0,712.56,750.0,60052.47905,44216631.9019637,78690.0,65.21931539348847,720.2171428571428,58.38018242084979,-5.780709619923016,64.16089204077281
1514332800000.0,2017-12-27 00:00:00,ETH/USDT,750.0,766.05,693.18,739.89,51339.2782,38102246.9866603,72364.0,63.65915241282145,724.5121428571429,57.166570855708756,-5.595456948051243,62.76202780376
1514419200000.0,2017-12-28 00:00:00,ETH/USDT,739.89,744.93,645.88,707.89,72679.61288,50030889.1110455,94413.0,58.859663281801076,726.865,53.73178062831687,-7.224197740354505,60.955978368671374
1514505600000.0,2017-12-29 00:00:00,ETH/USDT,709.5,757.87,703.0,733.99,64028.12647,46838775.8175808,89024.0,61.41488821061255,730.5207142857143,51.99144989642639,-7.171622777795996,59.163072674222384
1514592000000.0,2017-12-30 00:00:00,ETH/USDT,732.9,735.0,635.82,681.06,89879.99994,61752153.6610781,123765.0,54.079248217882686,728.6221428571428,46.94479980395704,-9.774618296212282,56.71941810016932
1514678400000.0,2017-12-31 00:00:00,ETH/USDT,680.01,740.0,672.86,733.98,62628.24458,44570894.7990617,92610.0,59.31203392083641,725.0492857142856,45.567366521812914,-8.921641262685128,54.48900778449804
1514764800000.0,2018-01-01 00:00:00,ETH/USDT,733.01,763.55,716.8,754.99,53909.25885,40049370.5949261,75314.0,61.20229128431507,722.9771428571429,45.25700779888916,-7.385599988487101,52.642607787376264
1514851200000.0,2018-01-02 00:00:00,ETH/USDT,754.99,899.5,749.06,855.28,113257.78355,95749946.0604656,142511.0,68.68172966502681,727.0685714285713,50.50408282075148,-1.7108199732998344,52.21490279405131
1514937600000.0,2018-01-03 00:00:00,ETH/USDT,855.13,950.01,810.0,934.03,89041.45688,78173093.7121992,118866.0,73.07159463084531,737.3414285714287,58.882559489448454,5.334125356317713,53.54843413313074
1515024000000.0,2018-01-04 00:00:00,ETH/USDT,934.03,1009.72,890.01,940.0,102894.47384,97740086.5903057,132633.0,73.37626542165177,748.5978571428572,65.378250055791,9.463852738128203,55.9143973176628
1515110400000.0,2018-01-05 00:00:00,ETH/USDT,940.0,1045.0,930.0,959.3,97374.0163,95739901.4760194,124438.0,74.38523533218894,771.6928571428571,71.08883384304568,12.1395492203063,58.94928462273938
1515196800000.0,2018-01-06 00:00:00,ETH/USDT,958.0,1017.56,950.0,1004.11,71954.27895,71196052.3406679,91685.0,76.60232968354353,797.6764285714286,77.62469654794836,14.940329540167184,62.68436700778118
1515283200000.0,2018-01-07 00:00:00,ETH/USDT,1003.71,1125.0,999.9,1123.09,65278.81957,70126945.1735654,89192.0,81.24437221011688,830.8971428571429,89.15352764153249,21.175328507001055,67.97819913453144
1515369600000.0,2018-01-08 00:00:00,ETH/USDT,1123.09,1239.18,910.0,1133.18,158831.54798,176599793.2112688,171664.0,81.57816071155212,860.7707142857143,98.12245602387486,24.115405511474734,74.00705051240013
1515456000000.0,2018-01-09 00:00:00,ETH/USDT,1133.18,1326.5,1104.85,1291.0,118702.88684,143246762.0845697,152628.0,85.82690068580578,899.4135714285715,113.70292985144476,31.75670347123571,81.94622638020905
