unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1585180800000.0,2020-03-26 00:00:00,BTC/USDT,6677.42,6780.0,6510.0,6737.36,83026.555211,552537189.4793514,668467.0,47.44061476471088,5917.666428571429,-459.1697074113663,148.8964679169676,-608.0661753283339
1585267200000.0,2020-03-27 00:00:00,BTC/USDT,6737.27,6842.59,6261.0,6359.11,82914.968354,551326113.8552039,643631.0,43.59045775856177,5973.417142857143,-431.0792562488559,141.58953526358243,-572.6687915124384
1585353600000.0,2020-03-28 00:00:00,BTC/USDT,6359.11,6360.0,6024.0,6236.65,93159.693429,577986706.1289365,725588.0,42.39095477674891,6049.459285714286,-411.53685216784197,128.90555147567716,-540.4424036435191
1585440000000.0,2020-03-29 00:00:00,BTC/USDT,6236.65,6266.0,5866.56,5881.42,63311.627714,383707122.50096285,496709.0,39.03536963684625,6086.6107142857145,-412.8407812172218,102.08129794103786,-514.9220791582596
1585526400000.0,2020-03-30 00:00:00,BTC/USDT,5880.5,6599.0,5857.76,6394.38,118889.549992,747569726.4544197,784034.0,45.71747957697343,6184.139999999999,-379.41207459050474,108.40800365420392,-487.82007824470867
1585612800000.0,2020-03-31 00:00:00,BTC/USDT,6394.45,6523.23,6321.4,6410.44,72337.595259,465780496.6224872,538231.0,45.91734625264552,6262.5542857142855,-347.88758582002174,111.94599393974954,-459.8335797597713
1585699200000.0,2020-04-01 00:00:00,BTC/USDT,6412.14,6679.94,6150.11,6642.92,97500.7524,618527468.834164,758061.0,48.85313079105463,6351.831428571429,-305.37763719363465,123.56475405290928,-428.94239124654393
1585785600000.0,2020-04-02 00:00:00,BTC/USDT,6643.36,7198.0,6551.0,6794.09,149299.906871,1014494762.4416422,1101043.0,50.72617139989655,6396.954285714286,-259.2904178051158,135.72157875314258,-395.0119965582584
1585872000000.0,2020-04-03 00:00:00,BTC/USDT,6793.86,7048.0,6602.1,6734.1,104080.276939,710254017.100272,840456.0,49.94451857488047,6434.507142857142,-223.30091663847543,137.36886393582643,-360.66978057430185
1585958400000.0,2020-04-04 00:00:00,BTC/USDT,6732.97,6990.41,6650.01,6856.99,72990.861139,495076283.5209042,659051.0,51.59016959690996,6482.365,-184.93264121696393,140.58971148587034,-325.52235270283427
1586044800000.0,2020-04-05 00:00:00,BTC/USDT,6857.41,6895.54,6677.52,6772.78,49685.356983,337062083.002028,506433.0,50.368161711573336,6550.692857142857,-157.3070113975591,134.57227304422014,-291.87928444177925
